devbox newsyslog[688]:logfileturnedover
00:37:45.011 <kernel>IO80211Interface::updateReport_peerManagerismissing
00:47:45.267 <kernel>IO80211Interface::updateReport_peerManagerismissing
00:54:11.029 <kernel>AWDLSyncEnabled1,
00:54:18.501 <kernel>AWDLSyncEnabled0,
00:57:45.310 <kernel>IO80211Interface::updateReport_peerManagerismissing
00:57:45.326 <kernel>IO80211Interface::updateReport_peerManagerismissing
01:03:25.496 <kernel>AWDLSyncEnabled1,
01:03:34.099 <kernel>AWDLSyncEnabled0,
01:05:53.380 <kernel>AWDLSyncEnabled1,
01:06:00.581 <kernel>AWDLSyncEnabled0,
01:07:35.330 <kernel>IO80211Interface::updateReport_peerManagerismissing
01:17:45.001 <kernel>IO80211Interface::updateReport_peerManagerismissing
01:24:02.590 <kernel>AWDLSyncEnabled1,
01:24:11.931 <kernel>AWDLSyncEnabled0,
01:27:45.027 <kernel>IO80211Interface::updateReport_peerManagerismissing
01:28:57.752 <kernel>en0:linkdownevent,
01:28:57.761 <kernel>AirPort_Brcm4360::getSSIDData():Getfailure:APPLE80211_IOC_SSID:
01:28:57.761 <kernel>AirPort_Brcm43xx::syncPowerState:WWEN[disabled]
01:28:57.761 <airportd[70]>_handleLinkEvent:WiFiisnot
01:29:29.375 <airportd[70]>_configureScanOffloadParameters:Unabletoconfigure
03:07:32.012 <kernel>wl0:leaveModulePoweredForOffloads:Wi-Fiwill
03:07:32.012 <kernel>AirPort_Brcm43xx::syncPowerState:WWEN[disabled]
03:07:32.012 <kernel>wl0:leaveModulePoweredForOffloads:Wi-Fiwill
03:07:32.013 <kernel>AirPort_Brcm43xx::syncPowerState:WWEN[disabled]
03:07:32.122 <airportd[70]>ERROR:loginwindow(108)is
03:07:32.122 <airportd[70]>ERROR:loginwindow(108)is
03:07:32.122 <airportd[70]>ERROR:loginwindow(108)is
03:07:32.123 <airportd[70]>ERROR:loginwindow(108)is
03:07:32.123 <airportd[70]>ERROR:loginwindow(108)is
03:07:32.123 <airportd[70]>ERROR:loginwindow(108)is
03:07:32.124 <airportd[70]>ERROR:loginwindow(108)is
03:07:32.550 <kernel>AirPort_Brcm43xx::platformWoWEnable:WWEN[disable],in_fatal_err[0]
03:07:32.731 <airportd[70]>ERROR:WiFiProxy(396)is
03:07:32.732 <airportd[70]>ERROR:WiFiProxy(396)is
03:07:32.733 <airportd[70]>ERROR:WiFiProxy(396)is
03:07:32.733 <airportd[70]>ERROR:WiFiProxy(396)is
03:07:32.734 <airportd[70]>ERROR:WiFiProxy(396)is
03:07:32.735 <airportd[70]>ERROR:WiFiProxy(396)is
03:07:32.736 <airportd[70]>ERROR:WiFiProxy(396)is
03:07:33.134 <airportd[70]>__setPowerWithRetry:Retrysettingpower
03:07:33.174 <kernel>IO80211Interface::updateReport_peerManagerismissing
03:07:33.203 <kernel>AirPort_Brcm43xx::syncPowerState:WWEN[disabled]
03:07:33.776 <airportd[70]>__setPowerWithRetry:Retrysettingpower
03:08:23.934 <kernel>IO80211Interface::updateReport_peerManagerismissing
03:08:24.013 <kernel>SettingBTCoexConfig:enable_2G:1,
03:08:28.167 <kernel>en0:Terminatingsupplicant.
03:08:28.167 <kernel>RSNSupplicant:Releasingauthenticatorfor
03:08:28.167 <kernel>parseRSNIE:groupCipherType=3
03:08:28.167 <kernel>initWithInterfaceAndIE:_myMacAddressac:bc:32:ce:12:cb
03:08:28.167 <kernel>setPMK:PMKSET!
03:08:28.305 <kernel>en0:ReceivedEAPOLpacket
03:08:28.305 <kernel>inputEAPOLFrame:0extrabytes
03:08:28.305 <kernel>inputEAPOLFrame:Receivedmessage1
03:08:28.305 <kernel>FULLRSNIEFOUND:
03:08:28.305 [00000000]30180100
03:08:28.305 <kernel>storeFullRSNIE:getAP_IE_LISTreturned0
03:08:28.305 <kernel>PMK:
03:08:28.305 [00000000]BE1EBE2E
03:08:28.305 [0000001E]D4C9
03:08:28.305 <kernel>TPTK:
03:08:28.305 [00000000]4F9FEA9D
03:08:28.305 [0000001E]0AD5CBEF
03:08:28.305 [0000003C]00000000
03:08:28.305 <kernel>KEYMIC:
03:08:28.305 [00000000]2C913664
03:08:28.305 <kernel>process1of4:sendingreplyPacket135
03:08:28.329 <kernel>en0:ReceivedEAPOLpacket
03:08:28.329 <kernel>inputEAPOLFrame:0extrabytes
03:08:28.329 <kernel>inputEAPOLFrame:decryptingkeydata
03:08:28.329 <kernel>inputEAPOLFrame:Receivedmessage3
03:08:28.329 <kernel>process3of4:UnknownElemID
03:08:28.329 <kernel>process3of4:UnknownElemID
03:08:28.329 <kernel>process3of4:PerformingIEcheck.
03:08:28.329 <kernel>process3of4:sendingreplyPacket(
03:08:28.329 <kernel>process3of4:receivedpairwiseGTK
03:08:28.329 <kernel>ptkThread:Sleeping!
03:08:28.329 <kernel>ptkThread:Sleeping!
03:08:28.329 <kernel>ptkThread:Sleeping!
03:08:28.329 <kernel>ptkThread:Sleeping!
03:08:28.329 <kernel>ptkThread:InstallingPTK!
03:08:28.329 <kernel>PTK:
03:08:28.329 [00000000]CBEFFCC5
03:08:28.329 <kernel>ptkThread:InstallingGTK!
03:08:28.329 <kernel>installGTK:settingcipherkey
03:08:28.329 <kernel>GTK-RSC:
03:08:28.329 [00000000]B1380000
03:08:28.329 <kernel>GTK:
03:08:28.329 [00000000]C12849F8
03:08:28.329 [0000001E]F01C
03:08:28.329 <kernel>installGTK:GTKinstalled
03:08:28.351 <kernel>Unexpectedpayloadfoundfor
03:08:28.395 <kernel>SettingBTCoexConfig:enable_2G:1,
03:08:30.549 <kernel>en0:Terminatingsupplicant.
03:08:30.549 <kernel>RSNSupplicant:Releasingauthenticatorfor
03:08:30.556 <kernel>AirPort_Brcm4360::getSSIDData():Getfailure:APPLE80211_IOC_SSID:
03:08:30.573 <kernel>parseRSNIE:groupCipherType=3
03:08:30.573 <kernel>initWithInterfaceAndIE:_myMacAddressac:bc:32:ce:12:cb
03:08:30.573 <kernel>setPMK:PMKSET!
03:08:30.709 <kernel>en0:ReceivedEAPOLpacket
03:08:30.709 <kernel>inputEAPOLFrame:0extrabytes
03:08:30.709 <kernel>inputEAPOLFrame:Receivedmessage1
03:08:30.709 <kernel>FULLRSNIEFOUND:
03:08:30.709 [00000000]30180100
03:08:30.709 <kernel>storeFullRSNIE:getAP_IE_LISTreturned0
03:08:30.709 <kernel>PMK:
03:08:30.709 [00000000]CDFD2980
03:08:30.709 [0000001E]5E07
03:08:30.709 <kernel>TPTK:
03:08:30.709 [00000000]8D6B5359
03:08:30.710 [0000001E]DAAE6F31
03:08:30.710 [0000003C]00000000
03:08:30.710 <kernel>KEYMIC:
03:08:30.710 [00000000]3977A178
03:08:30.710 <kernel>process1of4:sendingreplyPacket135
03:08:30.729 <kernel>en0:ReceivedEAPOLpacket
03:08:30.729 <kernel>inputEAPOLFrame:0extrabytes
03:08:30.729 <kernel>inputEAPOLFrame:decryptingkeydata
03:08:30.729 <kernel>inputEAPOLFrame:Receivedmessage3
03:08:30.729 <kernel>process3of4:UnknownElemID
03:08:30.729 <kernel>process3of4:UnknownElemID
03:08:30.729 <kernel>process3of4:PerformingIEcheck.
03:08:30.729 <kernel>process3of4:sendingreplyPacket(
03:08:30.729 <kernel>process3of4:receivedpairwiseGTK
03:08:30.729 <kernel>ptkThread:Sleeping!
03:08:30.729 <kernel>ptkThread:Sleeping!
03:08:30.729 <kernel>ptkThread:InstallingPTK!
03:08:30.729 <kernel>PTK:
03:08:30.729 [00000000]6F319676
03:08:30.729 <kernel>ptkThread:InstallingGTK!
03:08:30.729 <kernel>installGTK:settingcipherkey
03:08:30.729 <kernel>GTK-RSC:
03:08:30.729 [00000000]6E6C0000
03:08:30.729 <kernel>GTK:
03:08:30.729 [00000000]08A31E7D
03:08:30.729 [0000001E]7D73
03:08:30.729 <kernel>installGTK:GTKinstalled
03:08:30.744 <kernel>Unexpectedpayloadfoundfor
03:15:34.680 <kernel>IO80211Interface::updateReport_peerManagerismissing
